name	path	filter	prompt	titel	autor	projektuebersicht					
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Langhanki_Jan/01_Szenen_Langhanki_Jan_138.jpg	Szenen	a sci-fi noir detective room, a black 3D rectangle stands in the middle of the room, old tech, film noir style, steampunk, black and white image, photorealistic filmscene	Monolith	Jan Langhanki	langhanki					
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Ries_Johanna/03_Adaption_Ries_Johanna_138.jpg	Adaptionen	An old man lies in bed; lots of wrinkles; close-up; it should look like it was 3D printed;	SpacePrint	Johanna Ries	ries					
14	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Blumstein_Alina/01_Szenen_Blumstein_Alina_138.jpg	Szenen	everything melts heavily, abstract, art  Abstract Bed	Titel	Alina Blumstein	blumstein					
29	https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/29_Charaktere_Paul_Rothe_138.jpg?raw=true	Charaktere	amneris looking at aida and is singing out loud https://s.mj.run/nxaujG66XBc https://s.mj.run/2BqXeXdCpLA https://s.mj.run/oN1SPNymBsM --ar 16:9	Amneris and Aida	Paul und Jannis	rothe					
30	https://github.com/maroeplin/bvk-128-03/blob/main/Projektserie/Rothe_P_Langer_J/30_Charaktere_Paul_Rothe_138.jpg?raw=true	Charaktere	aida and radames in the wearing space suits from 2001: a space odyssey, costume design Iris van Herpen mixed with digital screens displaying aritficial intellintelige images of Radamès, inspired from a 2001: a space odyssey, kodak 800, --style 2tO1HJiv5yw8O2c4sB2XCFfCJ --v 5.2 --ar 16:9 --iw 0	Radames and Aida doomed to die	Paul und Jannis	rothe					
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/31_Charaktere_Reuters_Moritz_138.jpg	Charaktere	floating in Sapce, Cillian Murphy in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters					
32	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/32_Charaktere_Reuters_Moritz_138.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters					
33	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Timecodes/138/33_Charaktere_Reuters_Moritz_138.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters					
27	\Datenbank\Videos\03_Adaption_Kroeger_Alexandra_138.mp4	Adaption	create an abstract yet spatial representation using only the colors gold and orange, dark blue and violet	Also sprach Zarathustra	Alexandra Kroeger kroeger						
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Thuernau_Laura/00_Objekte_Thuernau_Laura_Bett_138.jpg	Objekte	exploding building components of a beige futuristic decaying king sized bed, blurred white futuristic still noble room with a high ceiling and light stucco decorations as background, bed falling apart, no gravity, exploding, with deconstructive finished surface, sharp focus, studio photo, intricate details, highly detailed, standing in an ruinous and devastated white meeting hall, add hovering shattered fragments expiring from the chair, make the background blurry, swirl of dust and splinters and galactic particles vanish into the dark atmosphere, divine touch	Bett	Laura Thürnau	thuernau					
